PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
Red Dot Storage,5814 Hamburg Pike,Jeffersonville,IN,47130,8128502101,35800,34010,4.44,5,1,Completed,B,C+,2001-01-01
Red Dot Storage,1909 Unruh Court,New Albany,IN,47150,8123012556,34600,32870,2.17,13,1,Completed,C,B,2010-01-01
Red Dot Storage,6440 West Highway 146,Crestwood,KY,40014,5024306022,24888,23643,2.07,3,1,Completed,C,B-,2002-01-01
Red Dot Storage,428 Main Street,La Grange,KY,40031,5029090184,43225,41063,3.42,13,1,Completed,B,C+,2003-01-01
Red Dot Storage,4625 North Dixie Hwy,Elizabethtown,KY,42701,2702267800,50355,47837,5.96,5,1,Completed,B,B-,2002-01-01
Red Dot Storage,1270 Old Elizabethtown Road,Hodgenville,KY,42748,2704952367,16470,15646,4.7,7,1,Completed,C,C+,1995-01-01
Red Dot Storage,2500 South Dixie Blvd,Radcliff,KY,40160,2705945045,65500,62225,10.82,7,1,Completed,B,C+,1996-01-01
Red Dot Storage,5600 Lucas Avenue,Charlestown,IN,47111,8123012555,55600,52820,4.14,11,1,Completed,B,B-,2016-01-01
Red Dot Storage,8511 Commerce Park Drive,Sellersburg,IN,47172,8122860403,42200,40090,2.85,9,1,Completed,B,C+,2016-01-01
Rent - A - Space Mini Warehouse,4211 Meadowbrook Drive,Louisville,KY,40218,5024998104,51640,49058,6.1,8,1,Completed,C,C,1988-01-01
Rent - A - Space Mini Warehouse,126 East Vine,Radcliff,KY,40160,2703513060,26900,25555,2.31,9,1,Completed,C,C,1997-01-01
Rineyville Mini Storage,101 Sage Court,Rineyville,KY,40162,2702724954,12519,11893,1.08,3,1,Completed,C,C,2006-01-01
Ring Road Self Storage,2927 Ring Road West,Elizabethtown,KY,42701,2702349016,30950,29402,7.31,5,1,Completed,B,C+,1996-01-01
River City Mini Storage,3383 Freys Hill Road,Louisville,KY,40207,5023840664,48000,40800,1.23,1,2,Completed,A,A-,2018-07-16
