ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
02121,10718,7.9,13.5,6,6.6,40732
02122,9004,15.3,14.6,10.8,10.6,77081
02124,19395,11.6,15.1,9.6,9.5,65683
02125,12986,9.3,14.8,9.7,9.4,60612
02126,8785,14.5,16.5,6.4,7.3,61180
02127,16799,7.1,17.3,12.4,30.5,131782
02128,16925,13.1,14.8,9,11.1,71630
02129,9278,7.3,15.5,12.7,34,140534
02130,17609,12.9,18.7,11.6,22.6,106153
02131,12450,13.3,15.9,13.3,15.9,93601
02132,10941,10.2,22.8,13.9,21.6,114596
02133,0,-,-,-,-,-
02134,8082,9.5,20.9,8.5,7.4,70021
02135,20040,13.9,22.8,11.5,8.7,85792
02136,13929,13.4,18.4,11.5,9.6,81859
02138,14377,11.8,17.3,11.1,24.5,108692
02139,15263,10.1,18.2,12.7,24.1,113374
02140,9437,8.9,17.7,15.7,25.5,119827
02141,6826,10.4,16.6,13.2,19.5,96563
02142,2077,6,15.7,9.3,35.9,137723
02143,11623,13.7,19.2,15.5,20.8,111201
02144,11363,9.6,20.8,13.5,24.3,117601
02145,11349,12,20.9,14.6,14,99035
02148,25582,12.1,18,11.3,10.1,77082
02149,17091,17.5,14.3,8.7,7.2,71574
02150,13337,14.3,16.3,7.3,5.6,64688
02151,21663,11.9,19.9,9.4,7.7,72971
02152,8242,13.7,18.3,9.6,16.7,86780
02155,24771,11,19.7,13.8,20.1,107937
02163,403,9.9,24.1,5,8.4,67292
02169,27629,13.6,18.4,11.4,9.1,80087
02170,8001,15.2,21.5,12.5,11.6,92052
02171,8869,9.5,20.9,10.9,15.5,90558
02176,11926,8.1,17.5,18.1,23.7,125000
02180,9758,13,18.1,15.7,18.7,105541
02184,14384,11.6,18.3,16.2,22.2,114916
02186,8797,5.6,15.8,11.7,39.8,154125
02188,7085,10.5,27.3,11.5,10.6,98327
02189,6194,10.6,20.7,12.7,9.5,80020
02190,7677,17,18.6,15.3,14.2,93988
02191,3444,16.1,27.2,10.5,8.5,95846
02199,833,2.6,12.7,4.6,35.9,106182
02203,0,-,-,-,-,-
02205,0,-,-,-,-,-
02210,3016,7.1,23.2,9.2,43,160000
02215,7931,10.2,14,7.2,9.8,58466
02301,22928,11.8,16.2,9.4,6.3,65275
02302,12164,15.1,18.4,9.7,7.1,75280
02322,1653,8.2,24,23.2,8.4,127953
02324,8657,14.3,26,12.7,16,107932
02325,30,0,0,13.3,0,22708
02330,4648,10.5,14.3,10.5,9,61811
02332,6092,11.8,18.5,11.1,32.7,130260
02333,4952,11.6,21.3,12.8,19.1,110924
02338,2930,9.9,24.7,14.5,10,98264
02339,4744,10.1,20.3,16.1,33.4,149048
02341,3850,11.9,24.9,15.4,15.9,113500
02343,4695,14.8,26.3,12.3,6.1,89580
02346,9727,14.2,19.7,11.7,9.1,81809
02347,4162,15,20,15.6,18.8,112240
02350,70,11.4,11.4,11.4,12.9,-
02351,6083,6.9,20.5,19.9,17.7,113155
02356,4511,15.6,15.2,15.3,24.6,114682
02357,0,-,-,-,-,-
02359,6861,7.4,25.4,18.8,20.6,130015
02360,24985,13.8,21.5,10.9,16.3,97956
